Stromlo SLR Station: 7825            DAILY OPERATIONS REPORT for Day 94, 3 April 2020
__________________________________________________________________________________________________________________________________________________________

         Target    Start     Stop SCI Acq   SD    Shots     Total  Accepted Normal     Range   Range Accepted -Spider Cals--    Survey Time Bias      Note
           Name     Time     Time    Code Type    Fired     Range  No.Range Points   Obs(ns) RMS(ns) No. Cals SD(ns) RMS(ns) Error(mm)      (ms)
----------------------------------------------------------------------------------------------------------------------------------------------------------
STCABLE         01:24:15 01:31:30  0  1Z          20230     20230     19913      0    11.093   0.005        0    0.000 0.000                             
galileo203      12:47:00 16:05:00  0  5X              0         0         0      0             0.000        0    0.000 0.000                 0.0         
snet4           13:03:01 13:12:20  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo213      08:25:34 13:22:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo209      11:12:57 13:48:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass132      11:23:59 15:05:21  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lares           13:52:59 14:11:18  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
compassm3       10:52:12 14:24:59  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass134      11:43:45 16:32:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
ajisai          14:41:14 14:58:43  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos1         14:42:56 15:23:31  0  3D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos2         15:05:54 16:12:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
compassi5       09:26:26 17:58:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
larets          16:30:09 16:40:32  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
ajisai          16:43:37 17:03:05  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass136      16:49:00 20:45:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
starlette       17:22:01 17:33:10  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo102      14:05:25 17:51:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass133      15:25:03 19:12:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo216      18:02:00 22:51:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos1         17:58:09 18:51:50  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
stella          18:34:14 18:52:53  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
ajisai          18:46:05 19:01:34  0  3D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
starlette       19:10:05 19:23:46  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos2         19:11:37 19:43:06  0  3D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
cryosat2        19:25:15 19:35:44  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
kompsat5        19:31:00 19:34:00  0  5D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
